filename,fact_check,sources_count,last_verified,follower_data,metrics_complete,growth_stage,cross_reference,content_tags,total,rank
021_yasser_elsaid.md,30,15,5,0,0,0,0,5,55,F
022_roy.md,30,15,5,0,0,10,10,5,75,C
023_daniel_bitton.md,30,15,5,0,0,0,10,5,65,D
024_bhanu_teja.md,30,15,5,0,0,0,10,5,65,D
025_sumit_kumar.md,30,15,5,0,0,10,10,5,75,C
026_damon_chen.md,30,15,5,0,0,0,10,5,65,D
027_john_rush.md,30,15,5,0,0,0,0,5,55,F
028_ping.md,30,15,5,0,0,10,0,5,65,D
029_yong_soo_chung.md,30,15,5,0,0,0,10,5,65,D
030_guillaume.md,30,15,5,0,0,10,10,5,75,C
061_ahmet_dedeler.md,30,15,5,0,0,0,0,5,55,F
sns_analysis.md,30,0,5,0,0,0,0,5,40,F
sns_analysis.md,30,15,5,0,10,10,0,5,75,C
sns_analysis.md,30,15,5,0,10,10,10,5,85,B
sns_analysis.md,30,0,5,0,0,0,0,5,40,F
sns_analysis.md,30,15,5,0,10,10,10,5,85,B
sns_analysis.md,30,15,5,0,10,10,10,5,85,B
sns_analysis.md,30,0,5,0,0,0,10,5,50,F
sns_analysis.md,30,0,5,0,0,0,10,5,50,F
sns_analysis.md,30,0,5,0,10,0,0,5,50,F
