file,name,app_id,newsletter_id,status,notes
022_roy.md,roy,019_roy_lee,,SUCCESS,
027_john_rush.md,john rush,061_john_rush,,SUCCESS,
030_guillaume.md,guillaume,050_guillaume_moubeche,,SUCCESS,Corrected from 122_bhanu_teja
alex_finn/sns_analysis.md,alex finn,033_alex_finn,,SUCCESS,
alex_hormozi/sns_analysis.md,alex hormozi,,,NO_MATCH,Removed incorrect match 114_chris_poka
alex_turnbull/sns_analysis.md,alex turnbull,,,NO_MATCH,
alex_west/sns_analysis.md,alex west,154_alex_west,,SUCCESS,
blake_anderson/sns_analysis.md,blake anderson,024_blake_anderson,,SUCCESS,
brock/sns_analysis.md,brock,005_brock_anderson,,SUCCESS,
connor/sns_analysis.md,connor,,,NO_MATCH,Removed incorrect match 040_alex_slater
daniel_bitton/sns_analysis.md,daniel bitton,022_daniel_bitton,,SUCCESS,
diego_roshardt/sns_analysis.md,diego roshardt,050_diego_roshardt,,SUCCESS,
florin_pop/sns_analysis.md,florin pop,,,NO_MATCH,
gil_hildebrand/sns_analysis.md,gil hildebrand,033_gil_hildebrand,,SUCCESS,
grant_mcconnaughey/sns_analysis.md,grant mcconnaughey,052_grant_mcconnaughey,,SUCCESS,
hahnbee_lee/sns_analysis.md,hahnbee lee,,,NO_MATCH,
harry_dry/sns_analysis.md,harry dry,,NL_CASE_P1_011_growth_design,SUCCESS,
ikehaya/sns_analysis.md,ikehaya,,,NO_MATCH,
jack_butcher/sns_analysis.md,jack butcher,,,NO_MATCH,Removed incorrect match 165_sharath_kuruganty
jack_friks/sns_analysis.md,jack friks,007_jack_friks,,SUCCESS,
john_rush/sns_analysis.md,john rush,061_john_rush,,SUCCESS,
021_yasser_elsaid.md,yasser elsaid,031_yasser_elsaid,,SUCCESS,
023_daniel_bitton.md,daniel bitton,022_daniel_bitton,,SUCCESS,
024_bhanu_teja.md,bhanu teja,122_bhanu_teja,,SUCCESS,
025_sumit_kumar.md,sumit kumar,059_sumit_kumar,,SUCCESS,
026_damon_chen.md,damon chen,062_damon_chen,,SUCCESS,
029_yong_soo_chung.md,yong soo chung,077_yong_soo_chung,,SUCCESS,
adam_robinson/sns_analysis.md,adam robinson,,,NO_MATCH,
anton_osika/sns_analysis.md,anton osika,023_anton_osika,,SUCCESS,
arvid_kahl/sns_analysis.md,arvid kahl,079_arvid_kahl,NL_CASE_P1_015_bootstrapped_founder,SUCCESS,
bhanu_teja/sns_analysis.md,bhanu teja,122_bhanu_teja,,SUCCESS,
damon_chen/sns_analysis.md,damon chen,062_damon_chen,,SUCCESS,
dan_koe/sns_analysis.md,dan koe,,,NO_MATCH,
daniel_vassallo/sns_analysis.md,daniel vassallo,164_daniel_vassallo,,SUCCESS,
