filename,had_quality_section,sources_added,improvement_estimate
mac_martine,True,0,0
manabu,True,0,0
manoj_ahirwar,False,7,93
marc_lou,False,7,87
marie_forleo,False,5,93
max_artemov,False,6,92
michele_hansen,False,5,95
moto,True,0,0
mubashar_iqbal,False,7,89
nathan_barry,False,8,88
nathan_hunter,False,5,85
naval_ravikant,False,7,87
neil_patel,False,5,87
nico_jeannen,False,8,85
nicolas_cole,False,6,85
noah_kagan,False,6,89
packy_mccormick,False,7,92
pat_flynn,False,7,93
pat_walls,False,5,87
paulius,False,8,89
pieter_levels,True,0,0
rand_fishkin,False,5,91
roberto_blake,False,5,94
romain_torres,False,6,95
rosie_sherry,False,6,87
roy,False,6,86
russell_brunson,False,8,85
