filename,had_quality_section,sources_added,improvement_estimate
documents/03_SNS/046_alexander_theuma/sns_analysis.md,yes,no,0
documents/03_SNS/047_noah_kagan/sns_analysis.md,yes,no,0
documents/03_SNS/048_alex_slater/sns_analysis.md,yes,no,0
documents/03_SNS/049_colin_mcintosh/sns_analysis.md,yes,no,0
documents/03_SNS/052_colin_gray/sns_analysis.md,yes,no,0
documents/03_SNS/054_kelechi_onyeama/sns_analysis.md,yes,no,0
documents/03_SNS/055_dmytro_krasun/sns_analysis.md,yes,no,0
documents/03_SNS/056_julien_nahum/sns_analysis.md,yes,no,0
documents/03_SNS/057_mac_martine/sns_analysis.md,yes,no,0
documents/03_SNS/058_sorin_alupoaie/sns_analysis.md,yes,no,0
documents/03_SNS/059_alexander_belogubov/sns_analysis.md,yes,no,0
documents/03_SNS/060_ivan_kutskir/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jack_butcher/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jack_friks/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/james_clear/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/james_scholz/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jasmin_alic/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jason_chin/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jason_fried/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jenna_kutcher/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jim_raptis/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/john_rush/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/jon_yongfook/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/justin_welsh/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/kazuki_nakayashiki/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/kensu/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/kp/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/kunal_shah/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/kushank_aggarwal/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/laura_belgray/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/leila_hormozi/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/lenny_rachitsky/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/lynne_tye/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/mac_martine/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/manabu/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/manoj_ahirwar/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/marc_lou/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/marie_forleo/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/max_artemov/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/michele_hansen/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/moto/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/mubashar_iqbal/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/nathan_barry/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/nathan_hunter/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/naval_ravikant/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/neil_patel/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/nico_jeannen/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/nicolas_cole/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/noah_kagan/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/packy_mccormick/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/pat_flynn/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/pat_walls/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/paulius/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/pieter_levels/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/rand_fishkin/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/roberto_blake/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/romain_torres/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/rosie_sherry/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/roy/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/russell_brunson/sns_analysis.md,yes,no,0
