filename,had_cross_reference,app_id,newsletter_id,improvement
grant_mcconnaughey/sns_analysis.md,yes,APP_052,,updated format
hahnbee_lee/sns_analysis.md,no,none,none,added
harry_dry/sns_analysis.md,yes,,NL_CASE_P1_011,already correct
jack_butcher/sns_analysis.md,no,none,none,added
jack_friks/sns_analysis.md,yes,APP_007,,updated format
john_rush/sns_analysis.md,yes,APP_061,,updated format
desmond/sns_analysis.md,partial,APP_002,,added frontmatter
adam_robinson/sns_analysis.md,no,none,none,added
alex_lieberman/sns_analysis.md,no,,NL_CASE_P1_002,added
ali_abdaal/sns_analysis.md,no,none,none,added
amy_porterfield/sns_analysis.md,no,none,none,added
andrew_wilkinson/sns_analysis.md,no,none,none,added
andrey_azimov/sns_analysis.md,no,APP_076,,added
ankur_warikoo/sns_analysis.md,no,none,none,added
