file,total_score,grade,universal_score,sns_score,fact_check,sources_count,sources_score,last_verified,follower_data,metrics_complete,growth_stage,cross_reference,content_tags,notes
case_studies/roy/sns_analysis.md,15,D,0,15,0,4,0,0,15,0,0,0,0,
case_studies/john_rush/sns_analysis.md,25,D,15,10,0,10,15,0,0,0,0,10,0,
case_studies/alex_finn/sns_analysis.md,40,C,15,25,0,7,15,0,15,0,0,10,0,
case_studies/alex_hormozi/sns_analysis.md,30,D,15,15,0,8,15,0,15,0,0,0,0,
case_studies/alex_turnbull/sns_analysis.md,30,D,15,15,0,13,15,0,15,0,0,0,0,
case_studies/alex_west/sns_analysis.md,40,C,15,25,0,6,15,0,15,0,0,10,0,
case_studies/blake_anderson/sns_analysis.md,40,C,15,25,0,10,15,0,15,0,0,10,0,
case_studies/brock/sns_analysis.md,40,C,15,25,0,5,15,0,15,0,0,10,0,
case_studies/connor/sns_analysis.md,40,C,15,25,0,5,15,0,15,0,0,10,0,
case_studies/daniel_bitton/sns_analysis.md,25,D,15,10,0,5,15,0,0,0,0,10,0,
case_studies/diego_roshardt/sns_analysis.md,30,D,20,10,0,6,15,5,0,0,0,10,0,
case_studies/florin_pop/sns_analysis.md,25,D,15,10,0,5,15,0,0,0,0,10,0,
case_studies/gil_hildebrand/sns_analysis.md,25,D,15,10,0,7,15,0,0,0,0,10,0,
case_studies/grant_mcconnaughey/sns_analysis.md,30,D,20,10,0,12,15,5,0,0,0,10,0,
case_studies/hahnbee_lee/sns_analysis.md,25,D,15,10,0,5,15,0,0,0,0,10,0,
case_studies/harry_dry/sns_analysis.md,25,D,15,10,0,5,15,0,0,0,0,10,0,
case_studies/ikehaya/sns_analysis.md,45,C,20,25,0,6,15,5,0,10,0,10,5,
case_studies/jack_butcher/sns_analysis.md,15,D,15,0,0,6,15,0,0,0,0,0,0,
case_studies/jack_friks/sns_analysis.md,25,D,15,10,0,6,15,0,0,0,0,10,0,
case_studies/yasser_elsaid/sns_analysis.md,15,D,15,0,0,5,15,0,0,0,0,0,0,
case_studies/bhanu_teja/sns_analysis.md,40,C,15,25,0,12,15,0,15,0,0,10,0,
case_studies/sumit_kumar/sns_analysis.md,15,D,0,15,0,4,0,0,15,0,0,0,0,
case_studies/damon_chen/sns_analysis.md,25,D,15,10,0,6,15,0,0,0,0,10,0,
case_studies/adam_robinson/sns_analysis.md,0,D,0,0,0,0,0,0,0,0,0,0,0,
case_studies/anton_osika/sns_analysis.md,40,C,15,25,0,8,15,0,15,0,0,10,0,
case_studies/arvid_kahl/sns_analysis.md,40,C,15,25,0,8,15,0,15,0,0,10,0,
case_studies/dan_koe/sns_analysis.md,10,D,0,10,0,2,0,0,0,0,0,10,0,
case_studies/daniel_vassallo/sns_analysis.md,10,D,0,10,0,4,0,0,0,0,0,10,0,
case_studies/catnose99/sns_analysis.md,30,D,5,25,0,4,0,5,0,10,0,10,5,
case_studies/chase_jarvis/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/chris_do/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/chris_williamson/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/codie_sanchez/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/courtland_allen/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/dagobert_renouf/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/daniel_nguyen/sns_analysis.md,25,D,0,25,0,0,0,0,15,0,0,10,0,
case_studies/danny_postma/sns_analysis.md,25,D,15,10,0,6,15,0,0,0,0,10,0,
case_studies/david_perell/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/des_traynor/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/desmond/sns_analysis.md,10,D,0,10,0,4,0,0,0,0,0,10,0,
case_studies/dharmesh_shah/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/dhh/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/dickie_bush/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/elise_darma/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/gary_vaynerchuk/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/graham_stephan/sns_analysis.md,10,D,0,10,0,0,0,0,0,0,0,10,0,
case_studies/greg_isenberg/sns_analysis.md,10,D,0,10,0,3,0,0,0,0,0,10,0,
case_studies/hassan_el_mghari/sns_analysis.md,25,D,15,10,0,5,15,0,0,0,0,10,0,
