医院名,住所,郵便番号,評価,口コミ件数,Google Maps URL,公式ウェブサイト,都道府県,診療科目
おとなとこどもの経堂歯科,日本、〒156-0052 東京都世田谷区経堂１丁目２４−１５,156-0052,4.4,161,https://maps.google.com/?cid=9367085869294718134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.otonatokodomo-kyodo-dental.com/,東京都,小児歯科
原宿こども歯科,日本、〒151-0051 東京都渋谷区千駄ケ谷３丁目５１−６ 原宿MOA3F,151-0051,4.8,99,https://maps.google.com/?cid=3980194606562806412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hk-dental.net/,東京都,小児歯科
医療法人社団心音会こどもの歯科｜祐天寺 歯医者・小児歯科/小児矯正,日本、〒153-0052 東京都目黒区祐天寺２丁目１５−１ ＭＫビル 1F 矯正歯科 小児歯科 マウスピース矯正 小児矯正 ホワイトニング,153-0052,4.6,91,https://maps.google.com/?cid=10094333780854755874&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://kodomonoshika.net/?utm_source=mybusiness,東京都,小児歯科
永福町駅前歯科・矯正歯科・小児歯科,日本、〒168-0064 東京都杉並区永福４丁目１−４ 永福ランドビル 1F,168-0064,4.4,79,https://maps.google.com/?cid=685897212281268867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://eifuku-dental.net/,東京都,小児歯科
かつらファミリー歯科,日本、〒108-0074 東京都港区高輪１丁目２６−１１,108-0074,4.7,91,https://maps.google.com/?cid=7028163084508203206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.dental-katsura.com/,東京都,小児歯科
キッズデンタル麻布,日本、〒106-0045 東京都港区麻布十番２丁目１７−４ SUN麻布十番,106-0045,4.3,52,https://maps.google.com/?cid=11697025693828496868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kids-azabu.com/,東京都,小児歯科
浜田山おとなこども歯科・矯正歯科,日本、〒168-0065 東京都杉並区浜田山３丁目３０−６ 1階,168-0065,4.4,211,https://maps.google.com/?cid=16871755216288551894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://hamadayama-shika.net/,東京都,小児歯科
下高井戸パール歯科クリニック・世田谷,日本、〒156-0044 東京都世田谷区赤堤５丁目３２−２,156-0044,4.3,113,https://maps.google.com/?cid=13501822496198250484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.pearl-shika.com/,東京都,小児歯科
永福町木村歯科クリニック,日本、〒168-0063 東京都杉並区和泉３丁目３１−６ カーサピアンタ,168-0063,4.1,53,https://maps.google.com/?cid=15730238471126536976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.dc-kimura.com/,東京都,小児歯科
You矯正歯科 新宿医院,日本、〒160-0023 東京都新宿区西新宿３丁目２−２７ オーチュ－第７ビル７階,160-0023,4.8,350,https://maps.google.com/?cid=15724624049658140637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.bubunkyousei.com/?utm_source=google&utm_medium=maps&utm_campaign=shinjuku,東京都,矯正歯科
