医院名,住所,評価,口コミ件数,除外理由
こどもの歯医者さん 下北沢,日本、〒155-0033 東京都世田谷区代田６丁目６−１ B1F,4.2,29,レビュー29件(<50)
こどもと女性の歯科クリニック｜ランパセラピー専門,日本、〒106-0046 東京都港区元麻布１丁目４−２７−１０１,4.3,24,レビュー24件(<50)
こども歯科,日本、〒154-0015 東京都世田谷区桜新町２丁目９−６ ブロッサム桜新町 3F,4.1,10,レビュー10件(<50)
やまなかこども歯科,日本、〒168-0065 東京都杉並区浜田山３丁目３３−１８ エクセレント浜田山 1F,4.8,20,レビュー20件(<50)
キッズデンタル代々木上原,日本、〒151-0064 東京都渋谷区上原１丁目３３−１０,4.3,17,レビュー17件(<50)
キッズデンタル麹町,日本、〒102-0082 東京都千代田区一番町１９ 麹町サニーマンション 1階,4.9,46,レビュー46件(<50)
キッズデンタル目黒,日本、〒152-0004 東京都目黒区鷹番１丁目１５−３,4.8,16,レビュー16件(<50)
下北沢 大人こども歯科・矯正歯科,日本、〒155-0031 東京都世田谷区北沢２丁目２２−１０ 下北沢リライアンスビル １F,4.9,12,レビュー12件(<50)
永福町ステーション歯科,日本、〒168-0064 東京都杉並区永福２丁目６０−３１ 京王リトナード永福町 京王リトナード永福町内(駅直結)の2階にあります。（2階,4.8,20,レビュー20件(<50)
永福町ファミリー歯科クリニック,日本、〒168-0064 東京都杉並区永福４丁目８−２ oazo永福 1F,4.5,17,レビュー17件(<50)
つきしま矯正こども歯科,日本、〒104-0052 東京都中央区月島３丁目１３−７,4.9,40,レビュー40件(<50)
渋谷東京矯正歯科,日本、〒150-0041 東京都渋谷区神南１丁目１２−１６ 和光ビル 3階,4.8,36,レビュー36件(<50)
阿佐谷矯正歯科医院,日本、〒166-0004 東京都杉並区阿佐谷南３丁目１−２５,4.3,35,レビュー35件(<50)
明大前おきはら矯正歯科,日本、〒156-0043 東京都世田谷区松原２丁目２８−２１ 1F,5,5,レビュー5件(<50)
東京歯並び矯正歯科,日本、〒107-0062 東京都港区南青山２丁目２７−２２ 青山安田ビル,4.8,48,レビュー48件(<50)
