日付,インプレッション数,エンゲージメント数
2025/9/23,2945,45
2025/9/24,6974,40
2025/9/25,7782,54
2025/9/26,5471,23
2025/9/27,2851,19
2025/9/28,2789,14
2025/9/29,2368,26
2025/9/30,2027,10
2025/10/1,2521,69
2025/10/2,3812,33
2025/10/3,4080,36
2025/10/4,4996,80
2025/10/5,3951,46
2025/10/6,5552,80
2025/10/7,3370,55
2025/10/8,3522,40
2025/10/9,6585,49
2025/10/10,14013,84
2025/10/11,5522,49
2025/10/12,3423,33
2025/10/13,6598,66
2025/10/14,3759,43
2025/10/15,3937,39
2025/10/16,5079,56
2025/10/17,4294,52
2025/10/18,10517,86
2025/10/19,7494,84
2025/10/20,8075,58
2025/10/21,8277,73
2025/10/22,6234,83
2025/10/23,7854,94
2025/10/24,22783,127
2025/10/25,12556,96
2025/10/26,12450,122
2025/10/27,12561,119
2025/10/28,10285,63
2025/10/29,5325,31
2025/10/30,4309,47
2025/10/31,6472,58
2025/11/1,4463,62
2025/11/2,4912,78
2025/11/3,7091,74
2025/11/4,21649,101
2025/11/5,12290,94
2025/11/6,5887,53
2025/11/7,5866,69
2025/11/8,6046,63
2025/11/9,6432,63
2025/11/10,8337,58
2025/11/11,5803,64
2025/11/12,9815,63
2025/11/13,3966,36
2025/11/14,3426,52
2025/11/15,6247,66
2025/11/16,6625,48
2025/11/17,5853,46
2025/11/18,4126,41
2025/11/19,3945,54
2025/11/20,5866,40
2025/11/21,2952,27
2025/11/22,5472,39
2025/11/23,2870,-29
2025/11/24,3252,42
2025/11/25,4833,38
2025/11/26,3294,37
2025/11/27,4811,47
2025/11/28,2306,22
2025/11/29,1455,3
2025/11/30,1313,21
2025/12/1,2339,50
2025/12/2,2303,50
2025/12/3,4557,56
2025/12/4,2297,30
2025/12/5,2048,46
2025/12/6,2889,85
2025/12/7,3751,120
2025/12/8,4173,78
2025/12/9,3408,55
2025/12/10,2676,59
2025/12/11,2407,65
2025/12/12,2782,40
2025/12/13,2633,68
2025/12/14,2051,48
2025/12/15,1874,21
2025/12/16,1167,9
2025/12/17,1260,17
2025/12/18,1553,15
2025/12/19,1384,25
2025/12/20,3013,59
2025/12/21,2610,44
