上位統計データ,値,パーセンテージ
役職,CEO,0.04312145709991455
役職,ソフトウェアエンジニア,0.018293047323822975
役職,人事・採用担当者,0.017069531604647636
役職,ゼネラルマネージャー,0.01277230679988861
役職,リクルーター,0.012264995835721493
場所,広域東京エリア,0.585526704788208
場所,広域大阪エリア,0.02709638886153698
場所,川崎市,0.01116084773093462
場所,名古屋,< 1%
場所,神戸,< 1%
業種,ITサービス・ITコンサルティング,0.26293644309043884
業種,ビジネスコンサルティング・サービス,0.10546105355024338
業種,技術・情報・インターネット,0.093076691031456
業種,人材派遣・人材紹介,0.08310952037572861
業種,ソフトウェア開発,0.05159653723239899
職務レベル,シニアレベル,0.349507600069046
職務レベル,エントリーレベル,0.19498656690120697
職務レベル,ディレクターレベル,0.10644583404064178
職務レベル,マネージャーレベル,0.10241718590259552
職務レベル,最高責任者 (CXO),0.07418680936098099
会社規模,"社員 10,001名以上",0.27185913920402527
会社規模,社員 1001-5000名,0.11157863587141037
会社規模,社員 51-200名,0.08036407083272934
会社規模,社員 11-50名,0.0744553878903389
会社規模,社員 201-500名,0.05723664537072182
会社,Accenture,0.01486123539507389
会社,Amazon,0.014025663956999779
会社,ジェイ エイ シー リクルートメント,0.013070724904537201
会社,Microsoft,0.012115786783397198
会社,IBM,0.011220531538128853
