Rank,Username,Tweet Count,Total Engagement,Total Likes,Total Retweets,Total Replies,Avg Likes,Max Likes
1,elonmusk,3,315324,258003,47073,10248,86001,103049
2,cupula_cupula,1,97856,84806,12812,238,84806,84806
3,teslaownersSV,3,19534,16241,1825,1468,5414,15651
4,SpaceX,1,16451,13888,1897,666,13888,13888
5,aelluswamy,2,12514,11230,899,385,5615,6535
6,rmcentush,1,11761,11108,319,334,11108,11108
7,MrBeast,1,9696,8148,308,1240,8148,8148
8,Hayakawashobo,1,8677,6779,1858,40,6779,6779
9,chamath,1,6619,5636,625,358,5636,5636
10,SawyerMerritt,1,6101,5241,631,229,5241,5241
11,0x0SojalSec,1,5964,5410,497,57,5410,5410
12,nwabishop,1,5662,5006,533,123,5006,5006
13,Ryosuke_Nishida,1,5129,4102,979,48,4102,4102
14,tbpn,1,3732,3473,172,87,3473,3473
15,KeiTanaka_Radio,1,3729,3452,244,33,3452,3452
16,pyquantnews,1,3655,2923,693,39,2923,2923
17,ciphergoth,1,3622,3238,226,158,3238,3238
18,Yacamochi_db,1,3245,2748,483,14,2748,2748
19,Kalshi,1,2998,2700,189,109,2700,2700
20,KOBA789,1,2963,2661,302,0,2661,2661
21,adityadotdev,1,2936,2722,86,128,2722,2722
22,daibakuto,1,2726,2536,164,26,2536,2536
23,neilsuperduper,1,2648,2392,167,89,2392,2392
24,benln,1,2604,1784,34,786,1784,1784
25,JsonBasedman,1,2533,2432,76,25,2432,2432
26,Yuchenj_UW,1,2444,2214,109,121,2214,2214
27,theo,1,2442,2114,120,208,2114,2114
28,vasuman,1,2391,2207,147,37,2207,2207
29,iruletheworldmo,3,2210,1974,71,165,658,1822
30,iamtobi,1,1984,1836,115,33,1836,1836
31,JayaGup10,1,1883,1676,150,57,1676,1676
32,Dimillian,1,1752,1647,27,78,1647,1647
33,dwarkesh_sp,1,1620,1346,119,155,1346,1346
34,startupideaspod,1,1568,1425,104,39,1425,1425
35,rpoo,1,1143,1049,70,24,1049,1049
36,666169koshimizu,1,1043,987,56,0,987,987
37,ikeTrump2,1,943,782,150,11,782,782
38,a16z,1,861,735,86,40,735,735
39,nateliason,1,774,709,33,32,709,709
40,nikkei,3,767,590,153,24,197,370
41,haru_tachibana8,1,754,667,73,14,667,667
42,mameyama_kun,1,730,631,79,20,631,631
43,paularambles,1,730,704,5,21,704,704
44,davidasinclair,1,722,620,79,23,620,620
45,nicosokufx,3,701,634,58,9,211,522
46,nopainkiller,1,674,598,52,24,598,598
47,daniel_mac8,1,612,565,39,8,565,565
48,noatake1127,1,583,545,34,4,545,545
49,tszzl,1,559,510,11,38,510,510
50,GyyARm5pyYHddh0,1,554,481,73,0,481,481
