スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
95,松尾歯科･おとなこども矯正歯科,松尾紘吾,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,20,10,10,月-金 9:00-12:30・14:00-17:30、土 9:00-12:30・14:00-17:30,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,dentist,10,"Instagram,Facebook,LINE",30,https://maps.google.com/?cid=28218853782371339
80,中里デンタルクリニック,中里信,,日本、〒031-0034 青森県八戸市鷹匠小路12ｰ1,10,15,30,15,10,0,月-金 9:00-18:30、土 9:00-13:00,,0178-22-2655,https://www.nakasato-dental.com/,4.7,529,dentist,10,Instagram,30,https://maps.google.com/?cid=3619948130249270671
75,盛岡となん歯科･こども矯正歯科,戸南裕基,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,15,10,0,月-土 9:00-13:00・14:30-18:30,,019-638-8680,https://tonandc.com/,4.9,262,dentist,10,Instagram,30,https://maps.google.com/?cid=5972186405453112528
70,かみきたデンタルクリニック,髙橋孝,,日本、〒039-2406 青森県上北郡東北町旭北１丁目３１−９０,10,15,30,10,10,0,月-土 9:00-13:00・14:30-18:00,,0176-56-4681,http://kamikita-ortho.com/,4.4,219,dentist,10,,30,https://maps.google.com/?cid=12861001954703120818
70,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),高橋衛,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,10,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,dentist,10,,30,https://maps.google.com/?cid=10299905700277547334
65,ゆいとぴあ歯科医院,後藤圭一郎,,日本、〒020-0866 岩手県盛岡市本宮６丁目１１−１０,10,15,30,10,10,0,月-土 9:00-13:00・15:00-19:00,,019-631-2222,http://www.yuitopia-dc.com/,4.5,119,dentist,10,,30,https://maps.google.com/?cid=1394409681404232714
65,村井産婦人科小児歯科医院,村井光二,,日本、〒020-0851 岩手県盛岡市向中野道明55,10,15,30,10,10,0,月-土 9:00-17:30,,019-636-2211,https://murai-clinic.net/,4.1,147,dentist,7,,30,https://maps.google.com/?cid=4371269780495001218
60,小林歯科医院,小林健一,,日本、〒037-0055 青森県五所川原市柏原町５０,10,5,30,10,10,0,月-土 9:00-18:00,,0173-33-1156,https://www.kobayashi-dentistry.com/,4.3,83,dentist,4,,30,https://maps.google.com/?cid=4545911626942355936
60,たなべ歯科・矯正歯科医院,田邊正文,,日本、〒033-0033 青森県三沢市美野原１丁目２ 13番地2号,10,5,30,10,10,0,月-土 9:00-13:00・14:30-18:00,,0176-50-2880,https://www.tanabedc.jp/,4,73,dentist,8,,30,https://maps.google.com/?cid=5747194597688233852
55,のへじ矯正小児歯科,上松丈裕,,日本、〒039-3141 青森県上北郡野辺地町鳴沢３６−１,10,5,15,10,10,10,月-金 9:00-13:00・14:30-18:00、土 9:00-13:00・14:30-18:00,2023-11-10,0175-64-6605,https://noheji.kamiden.net/,4.5,56,dentist,10,Facebook,15,https://maps.google.com/?cid=13360236793723995637
55,ミドリデンタルクリニック,佐藤雅志,,日本、〒030-0845 青森県青森市緑２丁目１３−１４,0,5,30,10,10,0,月-土 9:00-13:00・14:30-18:30,,017-777-3232,https://midori-d.com/,3.5,46,dentist,10,,30,https://maps.google.com/?cid=7624348179475200838
55,歯の松本,松本幸博,,日本、〒020-0824 岩手県盛岡市東安庭１丁目２３−６２,10,5,30,10,10,0,月-金 9:00-18:00、土 9:00-13:00,,019-625-5772,http://www.hanomatsumoto.com/,4,32,dentist,6,,30,https://maps.google.com/?cid=12467602416014899376
50,こまい歯科クリニック,駒井英基,,日本、〒030-0813 青森県青森市松原２丁目７−９,10,5,15,10,10,0,月-土 9:00-18:00,,017-773-3510,http://www.komai-dental.com/,4.2,25,dentist,10,,15,https://maps.google.com/?cid=12841011475164137121
50,かよ歯科,佳代貴之,,日本、〒030-0843 青森県青森市浜田玉川２１７−２６,0,5,30,5,10,0,月-土 9:00-18:00,,017-739-8241,http://kayoshika.cihp2.jp/,3.6,25,dentist,2,,30,https://maps.google.com/?cid=12631895878321178059
50,こん歯科口腔外科クリニック,今剛,,日本、〒030-0856 青森県青森市西大野１丁目１５−３,0,5,30,5,10,0,月-土 9:00-18:00,,017-764-0071,,3.8,22,dentist,7,,30,https://maps.google.com/?cid=5064214502342100878
45,やまもと歯科,山本明義,,日本、〒030-0843 青森県青森市浜田玉川２７−４,10,0,0,5,15,0,月・火・水・金 9:00-13:00・14:30-18:00、木・土 9:00-13:00,,017-721-5230,https://yamamoto-dc.net/,4.1,18,dentist,10,,0,https://maps.google.com/?cid=17774070992620817400
45,やまうち歯科医院,山内一夫,,日本、〒030-0852 青森県青森市大野前田７４−９３,0,0,30,5,10,0,月-土 9:00-18:00,,017-729-0788,https://www.yamauchi-shika.net/,3,5,dentist,4,,30,https://maps.google.com/?cid=11452007609600875650
45,ししど歯科医院｜盛岡市 歯医者・小児歯科,宍戸吉樹,,日本、〒020-0402 岩手県盛岡市黒川２２地割３９−１ 歯医者 小児歯科,10,0,30,5,10,0,月-土 9:00-18:00,,019-658-8092,https://www.shishido-dental.net/,4.7,19,dentist,10,,30,https://maps.google.com/?cid=12224080469455841455
