スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
80,宮崎マウスピース矯正歯科,,,日本、〒880-0844 宮崎県宮崎市柳丸町153番地1 パティオ柳丸C1 4,10,15,30,5,20,0,月-土 9:00-18:00,,0985-41-7475,https://miyazaki-mouthpiece.com/,4.9,117,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松井たかし矯正歯科クリニック 宮崎橘通り分院,,,日本、〒880-0805 宮崎県宮崎市橘通東４丁目１−１ 瀬尾ビル ３Ｆ,10,15,30,5,20,0,月-土 9:00-18:00,,0985-22-4187,https://happysmile-m.com/,4.8,108,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
75,大分矯正歯科,,,日本、〒870-0027 大分県大分市末広町１丁目１−３２ 末広ビル 6F,10,15,30,5,15,0,月-土 9:00-18:00,,097-576-7182,https://oita-ortho.com/,4.7,112,"dentist,establishment,health,point_of_interest",7,,30,https://maps.google.com/?cid=
75,しろくま歯科◇矯正歯科,,,日本、〒874-0924 大分県別府市餅ケ浜町９−３９,10,10,30,5,20,0,月-土 9:00-18:00,,0977-22-4690,https://shirokuma-dental.jp/,4.2,62,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
65,リッツ歯科・矯正歯科 大分駅前,,,日本、〒870-0823 大分県大分市東大道１丁目８−１５,10,5,30,5,15,0,月-土 9:00-18:00,,097-545-1500,https://oita-ritzdental.com/,4.8,32,"dentist,establishment,health,point_of_interest",8,,30,https://maps.google.com/?cid=
65,麻生歯科 大分駅南クリニック｜歯医者(予防歯科・セラミック・矯正歯科・クリーニング),,,日本、〒870-0839 大分県大分市金池南１丁目９−１１ レジデンス金池 1F,10,5,30,5,15,0,月-土 9:00-18:00,,097-594-8100,https://www.aso-dental.net/,4.3,30,"dentist,establishment,health,point_of_interest",5,,30,https://maps.google.com/?cid=
65,キッズデンタルクリニック,,,日本、〒880-0921 宮崎県宮崎市本郷南方２５３７−１ 榎田 2537,10,5,30,5,15,0,月-土 9:00-18:00,,0985-63-9500,http://kids-dc.jp/,4.4,29,"dentist,doctor,establishment,health,point_of_interest",5,,30,https://maps.google.com/?cid=
65,てっぺいこども歯科,,,日本、〒880-0824 宮崎県宮崎市大島町前田３１５,10,0,30,5,20,0,月-土 9:00-18:00,,0985-77-5454,https://www.teppei-kids.com/,5,13,"establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
60,かずの 歯科 小児歯科,,,日本、〒870-0029 大分県大分市高砂町４−１,0,5,30,5,20,0,月-土 9:00-18:00,,097-536-5331,https://kazuno-dental.net/,3.7,33,"establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
60,エンゼル矯正歯科,,,日本、〒870-0021 大分県大分市府内町１丁目１−１４,10,5,30,5,10,0,月-土 9:00-18:00,,097-532-8411,http://www.angel-ortho.jp/,4,31,"dentist,establishment,health,point_of_interest",1,,30,https://maps.google.com/?cid=
