スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
130,中里デンタルクリニック,中里好宏,031-0034,青森県八戸市鷹匠小路12ｰ1,10,15,30,25,20,30,月-金 8:30-12:00、13:30-17:00,2025-12-29,0178-22-2655,https://www.nakasato-dental.com/,4.7,529,"dentist,doctor,store",10,"Instagram,LINE,X",30,https://maps.google.com/?cid=3619948130249270671
110,かみきたデンタルクリニック,上松丈裕,039-2406,青森県上北郡東北町旭北１丁目３１−９０,0,15,30,15,20,30,月～水・金・土 9:00～13:00 / 14:30～17:30（木曜・日曜・祝日 休診）,2026-01-01,0176-56-4681,http://kamikita-ortho.com/,4.4,219,,10,LINE,30,https://maps.google.com/?cid=12861001954703120818
110,ざいもくちょう歯科,中谷寛之,020-0063,岩手県盛岡市材木町９−１,10,15,30,15,20,20,月火木金 9:00-12:30/13:30-18:00、土 9:00-14:30,2025-12-26,019-653-2264,https://zmt-dc.com/,4.6,184,"dentist,doctor",10,Instagram,30,https://maps.google.com/?cid=12597058799956006325
95,松尾歯科･おとなこども矯正歯科,松尾紘吾,039-1536,青森県三戸郡五戸町愛宕後２６−１４,10,15,30,15,20,5,月-水・金-土 9:00-12:30 / 14:00-17:30（木曜日・日曜日・祝日は休診）,2025-09-09,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,dentist,10,"Instagram,Facebook,LINE",30,https://maps.google.com/?cid=28218853782371339
95,村井産婦人科小児歯科医院,村井正俊,020-0851,岩手県盛岡市向中野道明55,0,15,20,25,15,20,月-土 9:00-12:30/14:00-17:30,2025-12-22,019-636-2211,https://murai-clinic.net/,4.1,147,"dentist,doctor",7,"Instagram,Facebook,LINE",20,https://maps.google.com/?cid=4371269780495001218
80,八戸総合歯科・矯正歯科,吉田洋一,039-1166,青森県八戸市根城９丁目４−７,10,15,30,5,20,0,月-土 9:00-18:00,2025-12,0178-43-0517,https://www.n-yoshida.jp/,4.5,118,"dentist,doctor,store",10,Instagram,30,https://maps.google.com/?cid=9993903871520938744
80,ゆいとぴあ歯科医院,藤本淳,020-0866,岩手県盛岡市本宮６丁目１１−１０,10,15,30,5,20,0,月-金 8:30-11:30/13:30-17:30,2025-01,019-631-2222,http://www.yuitopia-dc.com/,4.5,119,"dentist,doctor",10,Instagram,30,https://maps.google.com/?cid=1394409681404232714
75,医療法人 たかはし歯科クリニック,高橋徹,030-0862,青森県青森市古川３丁目１４−６,0,5,20,10,20,20,月-金 09:00-12:00、13:30-18:30 / 土 09:00-12:30 / 日祝 休診,2025-12-26,017-775-0077,http://www.takahashishika.com/,4,21,dentist,10,,20,https://maps.google.com/?cid=14838305412283250796
75,盛岡となん歯科･こども矯正歯科,山田優貴,020-0831,岩手県盛岡市三本柳７地割13番8号,10,15,20,10,20,0,月-土 9:00-12:30/13:30-17:30,2025-12,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor",10,"Instagram,Facebook",20,https://maps.google.com/?cid=5972186405453112528
70,こまい歯科クリニック,駒井光貴,030-0813,青森県青森市松原２丁目７−９,0,5,30,5,20,10,月-金 9:30-12:30、14:00-18:30、土 9:30-12:30(午後休診)、日曜休診,2025-11-25,017-773-3510,http://www.komai-dental.com/,4.2,25,dentist,10,,30,https://maps.google.com/?cid=12841011475164137121
70,ミドリデンタルクリニック,工藤剛大,030-0845,青森県青森市緑２丁目１３−１４,0,5,20,15,20,10,"平日 8:30-12:30, 13:30-17:30 / 木 8:30-12:30 / 土 8:30-13:30",2025-11-16,017-777-3232,https://midori-d.com/,3.5,46,dentist,10,"Instagram,LINE",20,https://maps.google.com/?cid=7624348179475200838
65,のへじ矯正小児歯科,上松丈裕,039-3141,青森県上北郡野辺地町鳴沢３６−１,10,10,20,0,20,5,"月-金・土 9:00-13:00, 14:30-18:00（水日祝休診）",2023-11-10,0175-64-6605,https://noheji.kamiden.net/,4.5,56,"dentist,doctor",10,,20,https://maps.google.com/?cid=13360236793723995637
65,アイル浜中歯科クリニック 青森市 口腔外科,,030-0123,青森県青森市大矢沢里見８８−１１,10,0,20,10,20,5,午前 9:00～13:00 / 午後 14:30～18:00（水曜午後・土曜午後・日曜・祝日は休診）,2020-10-20,017-728-2240,http://www.aomori-haisha.jp/,5,4,"dentist,doctor",10,"Instagram,Facebook",20,https://maps.google.com/?cid=6581707182609543613
65,たなべ歯科・矯正歯科医院,田邊忠輝,033-0033,青森県三沢市美野原１丁目２ 13番地2号,0,10,30,10,15,0,月-土 9:00-18:00,2025-12,0176-50-2880,https://www.tanabedc.jp/,4,73,"dentist,doctor",8,"Instagram,LINE",30,https://maps.google.com/?cid=5747194597688233852
55,源内歯科クリニック,柿﨑実,038-0004,青森県青森市富田１丁目２６−１,10,0,30,5,0,10,"月・火・木・金 9:30-13:00, 14:00-18:00 / 水 9:30-13:00 / 土 9:30-13:00, 14:00-17:00",2025-11-21,017-766-4188,https://www.gennai-dental.com/,4.6,12,dentist,2,,30,https://maps.google.com/?cid=14876259883938721473
55,JUN Dental Clinic,荒関潤,030-0841,青森県青森市奥野２丁目２０−１３,0,0,30,5,20,0,月-金 9:00-18:00,2025-11,017-773-6680,https://www.araseki-dc.com/,2.4,16,,10,Instagram,30,https://maps.google.com/?cid=753771216470094884
55,小林歯科医院,小林克徳,037-0055,青森県五所川原市柏原町５０,0,10,30,5,10,0,月-金 9:00-18:00,,0173-33-1156,https://www.kobayashi-dentistry.com/,4.3,83,"dentist,doctor",4,Instagram,30,https://maps.google.com/?cid=4545911626942355936
55,やぎはしファミリー歯科,八木橋靖子,036-8173,青森県弘前市富田町３４−３４,0,0,30,5,20,0,月-土 9:00-18:00,2025-11,0172-36-4180,https://yagihashi-dental.com/,3.1,10,dentist,10,Instagram,30,https://maps.google.com/?cid=12625582892787686695
55,矯正歯科じん歯科クリニック,神智昭,036-8004,青森県弘前市大町２丁目10−３,0,5,30,5,15,0,月-金 9:00-13:00/15:00-19:00、土 14:00-18:00,,0172-37-1182,https://www.jin-dental.com/,2,34,"dentist,doctor",8,Facebook,30,https://maps.google.com/?cid=17056383272330121953
