スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
95,松尾歯科･おとなこども矯正歯科,松尾紘吾,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,20,10,10,月-金 9:00-12:30・14:00-17:30、土 9:00-12:30・14:00-17:30,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,dentist,10,"Instagram,Facebook,LINE",30,https://maps.google.com/?cid=28218853782371339
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,八戸総合歯科・矯正歯科,,,日本、〒039-1166 青森県八戸市根城９丁目４−７,10,15,30,5,20,0,月-土 9:00-18:00,,0178-43-0517,https://www.n-yoshida.jp/,4.5,118,"dentist,doctor,establishment,health,point_of_interest,store",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,中里デンタルクリニック,中里信,,日本、〒031-0034 青森県八戸市鷹匠小路12ｰ1,10,15,30,15,10,0,月-金 9:00-18:30、土 9:00-13:00,,0178-22-2655,https://www.nakasato-dental.com/,4.7,529,dentist,10,Instagram,30,https://maps.google.com/?cid=3619948130249270671
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,10,15,30,5,20,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,30,5,20,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,10,15,30,5,20,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
