バッチ番号,総合スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,Google評価,レビュー件数,診療科目タグ,写真枚数,SNS Instagram,SNS Facebook,SNS LINE,SNS Twitter,SNS連携数,子ども向けコンテンツ,待合室写真,Google Maps URL
1,93,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,15,10,0,月-金 9:00-12:30・14:00-17:30、土 9:00-12:30・14:00-17:30,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,True,True,True,False,3,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,78,八戸総合歯科・矯正歯科,,,日本、〒039-1166 青森県八戸市根城９丁目４−７,18,20,30,0,10,0,月-土 9:00-18:00,,0178-43-0517,https://www.n-yoshida.jp/,4.5,118,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,83,中里デンタルクリニック,,,日本、〒031-0034 青森県八戸市鷹匠小路12ｰ1,18,20,30,5,10,0,月-金 9:00-18:30、土 9:00-13:00,,0178-22-2655,https://www.nakasato-dental.com/,4.7,529,,0,True,False,False,False,1,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,18,20,30,0,10,0,月-土 9:00-18:00,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,,0,False,False,False,False,0,False,False,
1,79,盛岡となん歯科･こども矯正歯科,,,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,19,20,30,0,10,0,月-土 9:00-18:00,,019-638-8680,https://tonandc.com/,4.9,262,,0,False,False,False,False,0,False,False,
1,76,高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),,,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,16,20,30,0,10,0,月-土 9:00-18:00,,0120-981-418,https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,4.2,173,,0,False,False,False,False,0,False,False,
1,78,仙台リボン歯科・矯正歯科 インプラント,,,日本、〒980-0811 宮城県仙台市青葉区一番町３丁目６−１ 一番町平和ビル 3F,18,20,30,0,10,0,月-土 9:00-18:00,,022-226-8211,https://ribon-shika.jp/sendai/,4.7,463,,0,False,False,False,False,0,False,False,
1,80,くぼた矯正歯科クリニック,,,日本、〒983-0039 宮城県仙台市宮城野区新田東２丁目１４−６ クランジュールマンション小鶴新田 1F,20,20,30,0,10,0,月-土 9:00-18:00,,022-395-5888,https://kubota5888.com/?utm_source=Google&utm_medium=referral&utm_campaign=lcid_12908639379252172924,5.0,111,,0,False,False,False,False,0,False,False,
1,78,仙台青葉矯正歯科クリニック,,,日本、〒980-0811 宮城県仙台市青葉区一番町３丁目１−１８ しまぬきビル ２F,18,20,30,0,10,0,月-土 9:00-18:00,,022-796-0856,https://dd-dentalclinic.jp/lp/ddd/lp01/?ads=a-ahd_p-orthodontics_s-google_m-maps_o-reserve_d-organicfeed_sendaic-cv_1&utm_source=google&utm_medium=maps&utm_campaign=a-ahd_p-orthodontics_s-google_m-maps_o-reserve_d-organicfeed_sendaic-cv_1,4.5,168,,0,False,False,False,False,0,False,False,
1,77,ごとう歯科･矯正歯科クリニック,,,日本、〒990-0047 山形県山形市旅篭町３丁目３−４５,17,20,30,0,10,0,月-土 9:00-18:00,,023-642-1818,https://www.goto-smile.com/,4.3,150,,0,False,False,False,False,0,False,False,
1,78,南館歯科クリニック・矯正歯科,,,日本、〒990-2461 山形県山形市南館３丁目２１−１,18,20,30,0,10,0,月-土 9:00-18:00,,023-644-0018,https://www.minamidate-dental.com/,4.6,103,,0,False,False,False,False,0,False,False,
1,76,須賀川みらい歯科クリニック｜須賀川市 郡山市 インプラント 矯正 ホワイトニング,,,日本、〒962-0859 福島県須賀川市塚田１２５,16,20,30,0,10,0,月-土 9:00-18:00,,0248-94-8273,https://www.mdc-s.com/,4.1,322,,0,False,False,False,False,0,False,False,
1,79,石岡矯正歯科・小児歯科 茨城診療所,,,日本、〒315-0001 茨城県石岡市石岡２丁目6−２８,19,20,30,0,10,0,月-土 9:00-18:00,,0299-56-6480,http://www.ishiokadental.com/,4.9,370,,0,False,False,False,False,0,False,False,
1,79,つくばリボン歯科・矯正歯科 インプラント,,,日本、〒305-0033 茨城県つくば市東新井15−４ 関友つくばビル 1F,19,20,30,0,10,0,月-土 9:00-18:00,,029-879-7145,https://ribon-shika.jp/tsukuba/,4.8,410,,0,False,False,False,False,0,False,False,
1,77,つくばホワイト歯科・矯正歯科,,,日本、〒305-0822 茨城県つくば市苅間１８８５−１,17,20,30,0,10,0,月-土 9:00-18:00,,029-851-4182,http://4182jp.net/,4.4,110,,0,False,False,False,False,0,False,False,
1,78,つくば松代歯科・口腔外科・矯正歯科・小児歯科,,,日本、〒305-0056 茨城県つくば市松野木９５−４,18,20,30,0,10,0,月-土 9:00-18:00,,029-838-0007,https://www.matsushiroshika.com/,4.5,173,,0,False,False,False,False,0,False,False,
1,79,イクシーファミリー口腔歯科・小児歯科・矯正歯科,,,日本、〒322-0029 栃木県鹿沼市西茂呂４丁目４１−２,19,20,30,0,10,0,月-土 9:00-18:00,,0289-62-4184,https://ixi.cc/?utm_source=google&utm_medium=map,4.8,551,,0,False,False,False,False,0,False,False,
