title,url,description,date
"大手ECサイトに「フッターナビ」をつけたらCVRが約1.3倍になった理由、ボタンの下に「なぜ予約す…","https://markelabo.com/n/n4f6ce8c8da72","今月に気になった記事などを、紹介させていただきます。

1、ECサイトに「フッターナビ」をつけたらCVRが約1.3倍に。

ウクライナの大手小…","22時間前"
"ARR30億円超に成長した「AI記録アプリ」サブスクのCVRを高めた3つの工夫、売上60億円の「美容D2C…","https://markelabo.com/n/nfa8c4856e803","今月に気になった、アプリやプロダクトについてまとめています。

1、売上60億円まで成長した「美容ブランド」のグロース施策。

アメリカ…","1日前"
"機能やサービスの「ネーミング」によって売上や指標が変わった9つの事例。（想起しやすい名称で…","https://markelabo.com/n/n1173c94fe635","ネーミングの工夫の事例をまとめました。

1、ネーミングを変えて「用途を再定義する」

キッチン用品メーカーのアーネストでは、用途とネ…","3日前"
"noteの「グロースモデル」誕生のヒミツ、サポートをチップに変えたら流通額が伸びたワケ、会員数…","https://markelabo.com/n/n6185334bfdbf","noteさんを取材しました。

noteの急成長に貢献した「グロースモデル」のヒミツ。⸺2017年に生まれた「noteのグロースモデル」について教え…","7日前"
"赤字続きだった初期から、1,300万人が登録するサービスへ成長。「あすけん」に聞く栄養士の人柄…","https://markelabo.com/n/n3a9fa6ad13e7","あすけんさんを取材しました。

⸺「あすけん」について教えてください。

天辰：
あすけんはカロリーや栄養素を自動計算できる「AI食事管…","9日前"
"プロダクトのマーケティング良施策まとめ20事例（2025後半）","https://markelabo.com/n/ne843ab198ccc","2025年の下半期に取材した記事から、長く参考になりそうな「ナイス施策」を20個ほどまとめました。

【2025年上半期】のまとめは以下です。…","2週間前"
"写真の「タグ付け機能」がアクティブ率を加速させる理由。スキップした人に「価値を伝えるポップアップ」で機能利用率アップ。世界30億人がつかう「Facebook」に学ぶ過去の成功施策まとめ。","https://markelabo.com/n/ncb7486ffa0e1","Facebookの成功施策などについてまとめました。

2004年に創業したソーシャル・ネットワーキング・サービス。

月間アクティブユーザーは30億人 (2023年)

1日のアクティブユーザーは21億人 (2023年)

初期は「大学生向けSNS」としてはじまったが、高校生→一般向けと拡大してい","3週間前"
"ユーザー登録画面に「メリット箇条書き」を入れたらCVRが6％伸びた、アプリのペイウォールに「お…","https://markelabo.com/n/n6347cb5bc5af","今月に気になった記事などを、紹介させていただきます。

1、登録メリットを「箇条書き」で伝えたら登録率が6％改善。

ノルウェーの航空会…","1か月前"
"AI動画編集サービスが「月に300万円超」の新規収益を獲得できた3つのグロース施策、学習アプリに…","https://markelabo.com/n/nad72e6858ff7","今月にリサーチしたアプリや施策についてまとめています。

1、AI学習サービスの「Jungle」

Jungleという「PDF・記事・動画」など資料をア…","1か月前"
"なぜ「シャドテン」は年間売上20億円規模のサブスクアプリに成長できたのか。UIはコピーできても…","https://markelabo.com/n/n4978ad140741","プログリットさんを取材しました。サブスクモデルで年間売上20億円規模に成長した、英語学習アプリ「シャドテン」 その成長の裏側を聞いた…","1か月前"
"不安解消テキストでCVRが2倍。リクエストボタンを「次へ」にしたら収益2桁％アップ。プロダクト…","https://markelabo.com/n/n6ec19f3b24a5","ボタンなどの「コピーの改善」で指標が伸びる5つのパターンと、指標が変化したプロダクトの事例を13個まとめました。

1、「具体的なアクシ…","1か月前"
"潜在層の「行動しない理由」をリサーチでひも解いたらCVRが2.6倍に。LPからヘッダーを削除したら…","https://markelabo.com/n/nd86d7fe7cdef","IVRyさんを取材しました。累計アカウントは4万件以上。着電数は累計6,000万件を超えている。

LPからヘッダーのメニューを削除したらCVRが1…","1か月前"
"ECサイトの「売上が伸びた」ABテスト事例9選。（類似商品レコメンドで購入増、サイズの不安を解…","https://markelabo.com/n/n3b8caef5028a","ドイツのCROエージェンシー「DRIP Agency」がクライアント事例として公開している、ECサイトのABテストなどの施策についてまとめました。

…","1か月前"
"リテンションは「ユースケース」に宿る。「誰にどう使われているか？」を分析して収益性やリピート率を改善する方法。Uberが見つけた「7倍収益性の高い」ユースケースなど。","https://markelabo.com/n/nc2f8387bef63","リテンション（継続率）と「ユースケース（誰にどう使われるか）」の関連性についてまとめました。

リテンション（継続率）は「どうユーザーに長く続けてもらうか？」に関連しますが、爆発的にユーザー数が増えてもリテンションが低いと価値が積み上がらず、成長や収益化に苦戦することがあります。

このリテンション","1か月前"
