person_id,name,twitter_handle,app_count,newsletter_count,sns_count,total_presence,japan_relevance
PERSON_UNKNOWN,Sam Parr,@unknown,0,31,0,31,4.2
PERSON_NA,匿名化（複数ソロプレナー）,@na,0,4,0,4,4.3
PERSON_CSALLEN,Courtland Allen,@csallen,1,1,1,3,4.0
PERSON_LEVELSIO,Pieter Levels,@levelsio,2,0,1,3,3.9
PERSON_LENNYSAN,Lenny Rachitsky,@lennysan,0,2,1,3,4.2
PERSON_SEBASTIANROEHL,Sebastian Röhl,@sebastianroehl,2,0,0,2,3.8
PERSON_TDINH_ME,Tony Dinh,@tdinh_me,2,0,0,2,4.3
PERSON_ANDREYAZIMOV,Andrey Azimov,@andreyazimov,1,0,1,2,3.8
PERSON_YONGFOOK,Jon Yongfook,@yongfook,1,0,1,2,3.15
PERSON_STEPHSMITHIO,Steph Smith,@stephsmithio,1,0,1,2,4.0
PERSON_ROSIESHERRY,Rosie Sherry,@rosiesherry,1,0,1,2,3.8
PERSON_LYNNETYE,Lynne Tye,@lynnetye,1,0,1,2,3.4
PERSON_NATHANBARRY,Nathan Barry,@nathanbarry,1,0,1,2,3.4
PERSON_BENTOSSELL,Ben Tossell,@bentossell,1,1,0,2,4.5
PERSON_THEPATWALLS,Pat Walls,@thepatwalls,1,0,1,2,3.8
PERSON_SAHILBLOOM,Sahil Bloom,@sahilbloom,1,0,1,2,3.6
PERSON_DRURLY,Dru Riley,@drurly,1,1,0,2,4.2
PERSON_DAGORENOUF,Dagobert Renouf,@dagorenouf,1,0,1,2,3.8
PERSON_THEJUSTINWELSH,Justin Welsh,@thejustinwelsh,1,0,1,2,4.0
PERSON_THESAMPARR,Sam Parr,@thesamparr,0,1,1,2,3.4
PERSON_SHAANVP,Shaan Puri & Ben Levy,@shaanvp,0,1,1,2,3.0
PERSON_BUSINESSBARISTA,Alex Lieberman,@businessbarista,0,1,1,2,3.6
PERSON_CATNOSE99,Kazuki Nakayashiki (中屋敷 和基),@catnose99,0,0,2,2,
PERSON_JOSEFBUETTGEN,Josef Büttgen,@josefbuettgen,1,0,0,1,3.4
PERSON_DANVSI,Daniel Bitton,@danvsi,1,0,0,1,0.0
PERSON_0XSIYABEND,Siyabend Ozdemir,@0xsiyabend,1,0,0,1,0.0
PERSON_5HARATH,Sharath Kuruganty,@5harath,1,0,0,1,3.8
PERSON_UKUTAHT,Uku Taht,@ukutaht,1,0,0,1,3.8
PERSON_AJLKN,AJ,@ajlkn,1,0,0,1,3.6
PERSON_PETECODES,Pete Codes (Pete Macleod),@petecodes,1,0,0,1,3.8
PERSON_PBTEJA1998,Bhanu Teja Pachipulusu,@pbteja1998,1,0,0,1,4.0
PERSON_SAMUELRONDOT,Samuel Rondot,@samuelrondot,1,0,0,1,4.0
PERSON_WONGMJANE,Jane Manchun Wong,@wongmjane,1,0,0,1,2.4
PERSON_SORINALUPOAIE,Sorin Alupoaie,@sorinalupoaie,1,0,0,1,0.0
PERSON_PJRVS,Paul Jarvis,@pjrvs,1,0,0,1,3.8
PERSON_DOMINICZIJLSTRA,Dominic Zijlstra,@dominiczijlstra,1,0,0,1,0.0
PERSON_MARIEPOULIN,Marie Poulin,@mariepoulin,1,0,0,1,4.0
PERSON_ANTHROPICAI,Dario Amodei,@anthropicai,1,0,0,1,5.0
PERSON_CA98AM79,Mike Carson,@ca98am79,1,0,0,1,2.4
PERSON_DANKULKOV,Dan Kulkov,@dankulkov,1,0,0,1,4.0
PERSON_BRESSLERTWEETS,David Bressler,@bresslertweets,1,0,0,1,4.3
PERSON_MARCKOHLBRUGGE,Marc Kohlbrugge,@marckohlbrugge,1,0,0,1,3.8
PERSON_ILYASUT,Ilya Sutskever,@ilyasut,1,0,0,1,1.0
PERSON_JOSHMOHRER,Josh Mohrer,@joshmohrer,1,0,0,1,4.2
PERSON_ADRIAANVROSSUM,Adriaan van Rossum,@adriaanvrossum,1,0,0,1,3.8
PERSON_RASHIDKHASANOV,Rashid Khasanov,@rashidkhasanov,1,0,0,1,2.8
PERSON_CLEMENTDELANGUE,Clement Delangue,@clementdelangue,1,0,0,1,5.0
PERSON_JEREMYREDMAN,Jeremy Redman,@jeremyredman,1,0,0,1,0.0
PERSON_RIKSCHENNINK,Rik Schennink,@rikschennink,1,0,0,1,4.0
PERSON_ROM1TRS,Romain Torres,@rom1trs,1,0,0,1,0.0
