filename,had_quality_section,sources_added,improvement_estimate
brock/sns_analysis.md,no,6,88%
catnose99/sns_analysis.md,yes,0,already_complete
chase_jarvis/sns_analysis.md,yes,0,already_complete
chris_do/sns_analysis.md,yes,0,already_complete
chris_williamson/sns_analysis.md,yes,0,already_complete
codie_sanchez/sns_analysis.md,yes,0,already_complete
connor/sns_analysis.md,yes,0,already_complete
courtland_allen/sns_analysis.md,yes,0,already_complete
dagobert_renouf/sns_analysis.md,yes,0,already_complete
damon_chen/sns_analysis.md,no,7,92%
dan_koe/sns_analysis.md,yes,0,already_complete
daniel_bitton/sns_analysis.md,no,6,90%
daniel_nguyen/sns_analysis.md,no,5,87%
daniel_vassallo/sns_analysis.md,no,8,93%
danny_postma/sns_analysis.md,yes,0,already_complete
david_perell/sns_analysis.md,yes,0,already_complete
des_traynor/sns_analysis.md,yes,0,already_complete
desmond/sns_analysis.md,yes,0,already_complete
dharmesh_shah/sns_analysis.md,no,7,91%
dhh/sns_analysis.md,no,6,89%
dickie_bush/sns_analysis.md,yes,0,already_complete
diego_roshardt/sns_analysis.md,yes,0,already_complete
elise_darma/sns_analysis.md,yes,0,already_complete
florin_pop/sns_analysis.md,yes,0,already_complete
gary_vaynerchuk/sns_analysis.md,yes,0,already_complete
gil_hildebrand/sns_analysis.md,yes,0,already_complete
graham_stephan/sns_analysis.md,yes,0,already_complete
