filename,had_cross_reference,app_id,newsletter_id,improvement
022_roy.md,yes,019_roy_lee,,no_change
027_john_rush.md,yes,061_john_rush,,no_change
030_guillaume.md,yes,050_guillaume_moubeche,,no_change
alex_finn/sns_analysis.md,yes,033_alex_finn,,no_change
alex_hormozi/sns_analysis.md,no,none,none,added_none
alex_turnbull/sns_analysis.md,no,none,none,added_none
alex_west/sns_analysis.md,yes,154_alex_west,,no_change
blake_anderson/sns_analysis.md,yes,024_blake_anderson,,no_change
brock/sns_analysis.md,yes,005_brock_anderson,,no_change
connor/sns_analysis.md,no,none,none,added_none
daniel_bitton/sns_analysis.md,yes,022_daniel_bitton,,no_change
diego_roshardt/sns_analysis.md,yes,050_diego_roshardt,,no_change
florin_pop/sns_analysis.md,no,none,none,added_none
gil_hildebrand/sns_analysis.md,yes,033_gil_hildebrand,,no_change
