filename,had_quality_section,sources_added,improvement_estimate
catnose99/sns_analysis.md,yes,0,0%
chase_jarvis/sns_analysis.md,no,6,90%
chris_do/sns_analysis.md,no,7,92%
chris_williamson/sns_analysis.md,no,6,88%
codie_sanchez/sns_analysis.md,no,7,93%
connor/sns_analysis.md,partial,7,94%
courtland_allen/sns_analysis.md,no,8,91%
dagobert_renouf/sns_analysis.md,no,6,89%
damon_chen/sns_analysis.md,partial,0,0%
dan_koe/sns_analysis.md,partial,8,93%
daniel_bitton/sns_analysis.md,partial,0,0%
daniel_nguyen/sns_analysis.md,partial,0,0%
daniel_vassallo/sns_analysis.md,partial,0,0%
danny_postma/sns_analysis.md,no,8,95%
david_perell/sns_analysis.md,no,7,90%
des_traynor/sns_analysis.md,no,6,87%
