Case_ID,Newsletter_Name,Data_Completeness,Source_Credibility,Practical_Applicability,Uniqueness_Insights,Data_Quality_Overall,Clarity,Depth,Actionability,Content_Structure_Avg,Japan_Market_Score,Required_Resources,Initial_Investment,Time_to_Revenue,Replicability_Overall,Innovation,Market_Timing,Scalability,Sustainability,Strategic_Value_Avg,Final_Composite_Score,Quality_Tier
NL_CASE_007,Pragmatic Engineer,9.5,9.0,9.5,9.0,9.28,9,10,9,9.33,4.2,7,10,6,7.3,8,9,8,9,8.5,9.1,Excellent
NL_CASE_LOW_001,Indie Creator 1K,7.5,7.0,9.0,7.5,7.75,8,8,9,8.33,4.5,9,10,8,9.0,7,8,7,8,7.5,8.2,Very Good
NL_CASE_LOW_002,Side Hustle 3mo,8.5,8.0,9.5,8.0,8.50,9,9,10,9.33,5.0,10,10,9,9.7,8,9,8,9,8.5,9.0,Excellent
NL_CASE_LOW_003,Micro Niche,9.0,8.5,9.5,9.0,9.00,9,10,10,9.67,4.8,8,10,7,8.3,9,8,7,9,8.3,8.8,Very Good
NL_CASE_LOW_004,Student Newsletter,8.5,8.0,9.5,8.5,8.63,9,9,9,9.00,4.9,9,10,8,9.0,8,9,7,8,8.0,8.7,Very Good
NL_CASE_LOW_005,Local Newsletter,8.5,8.0,9.5,8.5,8.63,9,9,10,9.33,5.0,9,10,8,9.0,8,9,8,9,8.5,8.9,Very Good
NL_CASE_LOW_006,Hobby Newsletter,8.0,7.5,9.0,8.0,8.13,8,9,9,8.67,4.8,9,10,7,8.7,7,8,8,8,7.8,8.3,Very Good
NL_CASE_LOW_007,Weekly Newsletter,8.5,8.0,9.5,8.5,8.63,9,10,9,9.33,4.9,9,10,7,8.7,8,9,8,9,8.5,8.8,Very Good
NL_CASE_LOW_008,Ad Revenue Newsletter,8.0,8.5,8.5,8.0,8.25,8,9,8,8.33,4.3,8,10,6,7.7,8,8,9,7,8.0,8.1,Very Good
NL_CASE_LOW_009,Curation Newsletter,8.5,9.0,9.5,9.0,9.00,9,10,10,9.67,4.9,8,10,7,8.3,9,9,8,9,8.8,9.0,Excellent
