filename,fact_check,sources_count,last_verified,subscriber_data,metrics_complete,growth_stage,cross_reference,monetization_tags,total,rank,improvement
NL_CASE_001_high_revenue.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_002_monthly_100k.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_003_02_dan_go.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_003_03_tech_emails.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_003_15_matt_goodwin.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_003_16_lookout_media.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_003_niche_success.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_004_knowledge_unique.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_005_lenny_rachitsky.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_006_letters_from_american.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_007_pragmatic_engineer.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_LOW_001_indie_creator_1k.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_LOW_002_side_hustle_3mo.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_LOW_003_micro_niche.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_LOW_004_student_newsletter.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_LOW_005_local_newsletter.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_LOW_006_hobby_newsletter.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_LOW_007_weekly_newsletter.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_LOW_008_ad_revenue_newsletter.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_LOW_009_curation_newsletter.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_001_extra_points.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_002_chief_in_the_north.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_002_naptown_scoop.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_003_parenting_newsletter.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_003_stacked_marketer.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_MID_004_alex_brogan.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_P1_001_bytebytego.md,30,15,5,15,10,10,10,5,100,A,88.1
NL_CASE_P1_002_morning_brew.md,30,15,5,15,10,10,10,5,100,A,88.1
NL_CASE_P1_003_the_hustle.md,0,0,0,15,10,10,10,5,50,F,38.1
NL_CASE_P1_004_lennys_newsletter.md,0,15,0,15,10,10,10,5,65,D,53.1
NL_CASE_P1_005_milk_road.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_006_bens_bites.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_007_tldr.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_P1_008_rundown_ai.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_009_not_boring.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_010_the_generalist.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_011_growth_design.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_012_indie_hackers.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_013_dense_discovery.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_014_trends_vc.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_015_bootstrapped_founder.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_016_libertys_highlights.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_017_compounding_quality.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_018_product_hunt_daily.md,0,10,0,0,0,0,10,5,25,F,13.1
NL_CASE_P1_019_sparkloop.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_P1_020_newsletter_operator.md,0,15,0,0,0,0,10,5,30,F,18.1
NL_CASE_P2_001_milk_road.md,0,0,0,0,0,0,10,5,15,F,3.1
NL_CASE_P2_002_the_hustle.md,0,0,0,0,0,0,10,5,15,F,3.1
