skill_name,case_id,case_title,category,selection_reason
analyze-aarrr,AI_FAMOUS_001,Aidan Gomez - Cohere,app,キーワード一致: revenue
analyze-aarrr,AI_FAMOUS_003,Clement Delangue - Hugging Face,app,キーワード一致: revenue
analyze-aarrr,AI_FAMOUS_004,Andrew Ng - Landing AI / Coursera / DeepLearning.AI,app,キーワード一致: revenue
analyze-aarrr,APP_001,Wilson Wilson - Senja / Ferndesk,app,キーワード一致: revenue
analyze-aarrr,APP_002,Desmond - Rise / LifeReset,app,キーワード一致: revenue
analyze-aarrr,APP_003,Pieter Levels - PhotoAI / RemoteOK,app,キーワード一致: revenue
analyze-aarrr,APP_004,Marc Lou - ShipFast,app,キーワード一致: revenue
analyze-aarrr,APP_005,Brock Anderson - Vivy & Catchr,app,キーワード一致: revenue
analyze-aarrr,APP_006,Max Artemov - App Portfolio Strategy,app,キーワード一致: revenue
analyze-aarrr,APP_007,jack friks - Curiosity Quench & TikTok Marketing,app,キーワード一致: revenue
analyze-aarrr,APP_008,Alex Nguyen - Notewave & Meddeep,app,キーワード一致: revenue
analyze-aarrr,APP_009,ウマたん（上野佑馬） - AI Flashcard & Newsletter,app,キーワード一致: revenue
analyze-aarrr,APP_010,Nico Jeannen - MakeLogo.ai & Talknotes Exit Strategy,app,キーワード一致: revenue
analyze-aarrr,APP_011,Marko Kraemer - AIウェブアプリ構築ツール,app,キーワード一致: revenue
analyze-aarrr,APP_012,Ahmet Dedeler - AIモデル比較ツール複数Exit,app,キーワード一致: revenue
analyze-aarrr,APP_013,Tibo (Thibault Louis-Lucas) - Tweet Hunter,app,キーワード一致: revenue
analyze-aarrr,APP_014,Danny Postma - HeadshotPro,app,キーワード一致: revenue
analyze-aarrr,APP_015,Alex West - Cyberleads,app,キーワード一致: revenue
analyze-aarrr,APP_017,Thibault Louis-Lucas - TweetHunter (重複),app,キーワード一致: revenue
analyze-aarrr,APP_018,Tony Dinh - TypingMind,app,キーワード一致: revenue
analyze-aarrr,APP_019,Roy Lee - Cluely,app,キーワード一致: revenue
analyze-aarrr,APP_020,Wesley Tian - Aragon AI,app,キーワード一致: revenue
analyze-aarrr,APP_021,Zach Yadegari - Cal AI,app,"キーワード一致: retention, revenue"
analyze-aarrr,APP_022,Daniel Bitton - Crayo.AI,app,キーワード一致: revenue
analyze-aarrr,APP_023,Anton Osika - Lovable,app,キーワード一致: revenue
analyze-aarrr,APP_024,Blake Anderson - Plug AI / Umax / Cal AI,app,キーワード一致: revenue
analyze-aarrr,APP_025,David Park - Jenni AI,app,キーワード一致: revenue
analyze-aarrr,APP_026,Ping He - LogoAI / uBrand / 48hourslogo,app,キーワード一致: revenue
analyze-aarrr,APP_027,Ivan Kutskir - Photopea,app,キーワード一致: revenue
analyze-aarrr,APP_028,Noah Kagan - AppSumo / SendFox / TidyCal,app,キーワード一致: revenue
analyze-aarrr,APP_029,Brett Williams - DesignJoy,app,キーワード一致: revenue
analyze-aarrr,APP_030,Jon Yongfook - Bannerbear / Browserbear,app,キーワード一致: revenue
analyze-aarrr,APP_031,Yasser Elsaid - Chatbase,app,キーワード一致: revenue
analyze-aarrr,APP_031,Yoni Smolyar - Brainrot,app,キーワード一致: revenue
analyze-aarrr,APP_032,CJ Zafir - Code Guide,app,キーワード一致: revenue
analyze-aarrr,APP_032,Romain Torres - Arcads AI,app,キーワード一致: revenue
analyze-aarrr,APP_033,Alex Finn - Creator Buddy,app,キーワード一致: revenue
analyze-aarrr,APP_034,Julien Nahum - OpnForm (NotionForms),app,キーワード一致: revenue
analyze-aarrr,APP_034,Tham (Sylvia) Nguyen - MindPal,app,キーワード一致: revenue
analyze-aarrr,APP_036,Siyabend Ozdemir - GenPPT,app,キーワード一致: revenue
analyze-aarrr,APP_037,Joseph Mambwe - GymStreak,app,キーワード一致: revenue
analyze-aarrr,APP_038,Jure Kayzer - Wrumer,app,キーワード一致: revenue
analyze-aarrr,APP_039,Sebastian Volkis - TrendFeed,app,キーワード一致: revenue
