date,open,high,low,close,volume
2024-11-18,80205.88,81259.9,79591.71,80729.34,481652
2024-11-19,82172.96,82429.02,82139.82,82211.78,321623
2024-11-20,82550.86,82753.44,81807.29,82386.72,316954
2024-11-21,85251.22,86278.7,85176.65,85303.39,100315
2024-11-22,86111.15,86307.48,85272.21,85808.15,131479
2024-11-25,85581.95,87031.07,85282.48,86055.7,394381
2024-11-26,85509.94,87261.09,84506.7,85657.6,396655
2024-11-27,85981.65,86876.68,84743.4,85829.36,163313
2024-11-28,85307.08,85963.38,83997.8,85633.29,399350
2024-11-29,86351.59,87025.41,86054.46,86547.7,456728
2024-12-02,88001.59,89086.28,87620.27,87798.66,385328
2024-12-03,86434.54,87786.38,85139.66,86769.61,213016
2024-12-04,84704.01,85269.25,84676.69,85054.13,383506
2024-12-05,83495.01,84164.81,81794.25,82743.45,233686
2024-12-06,83388.22,83406.34,81014.87,83376.35,112329
2024-12-09,82483.27,82496.93,81447.41,82007.79,236773
2024-12-10,79928.86,81694.63,79113.52,79401.78,360905
2024-12-11,79293.72,80483.33,78603.29,79865.94,115128
2024-12-12,82611.68,83194.77,82350.57,82909.07,441827
2024-12-13,82666.91,83032.95,81908.01,82901.52,191967
2024-12-16,83247.31,84041.8,81632.81,83950.79,252458
2024-12-17,84427.94,85761.43,83539.69,84053.9,280655
2024-12-18,84227.76,85846.88,82802.03,83929.31,450624
2024-12-19,84926.07,85228.0,83898.33,85094.38,342279
2024-12-20,84330.33,86018.79,84165.97,84724.68,275803
